# 电机故障日志；上位机收到电机故障回包后在此追加本机时间戳、总线、ID、错误码和板端 tick。
2026-08-13T22:28:56.552+08:00 | M3508 | FDCAN2 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=70620
2026-08-13T22:28:56.584+08:00 | M3508 | FDCAN2 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=70621
2026-08-13T22:29:25.953+08:00 | M3508 | FDCAN2 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=100029
2026-08-13T22:29:25.958+08:00 | M3508 | FDCAN2 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=100030
2026-08-13T22:30:13.079+08:00 | M3508 | FDCAN2 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=35047
2026-08-13T22:30:13.085+08:00 | M3508 | FDCAN2 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=35048
2026-08-13T22:32:34.497+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=35838
2026-08-13T22:33:51.233+08:00 | M2006 | FDCAN3 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=10993
2026-08-13T23:52:08.577+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=12454
2026-08-13T23:52:41.264+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=45177
2026-08-14T00:48:13.956+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=19369
2026-08-14T00:48:42.770+08:00 | M2006 | FDCAN3 | ID=0x02 | error=0xF0 (反馈超时/离线) | board_tick_ms=48186
2026-08-14T01:49:27.224+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=27036
2026-08-14T01:50:19.609+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=79433
2026-08-14T02:17:08.963+08:00 | M2006 | FDCAN3 | ID=0x01 | error=0xF0 (反馈超时/离线) | board_tick_ms=27801
2026-08-14T09:16:52.799+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224123
2026-08-14T09:16:52.877+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224125
2026-08-14T09:16:52.883+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224127
2026-08-14T09:16:52.889+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224129
2026-08-14T09:16:52.895+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224131
2026-08-14T09:16:52.902+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224133
2026-08-14T09:16:52.910+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224135
2026-08-14T09:16:52.917+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224137
2026-08-14T09:16:52.925+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224139
2026-08-14T09:16:52.933+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224141
2026-08-14T09:16:52.941+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224143
2026-08-14T09:16:52.954+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224145
2026-08-14T09:16:52.962+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224147
2026-08-14T09:16:52.970+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224149
2026-08-14T09:16:52.977+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224151
2026-08-14T09:16:52.985+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224153
2026-08-14T09:16:52.992+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224155
2026-08-14T09:16:53.000+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224157
2026-08-14T09:16:53.007+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224159
2026-08-14T09:16:53.015+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224161
2026-08-14T09:16:53.023+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224163
2026-08-14T09:16:53.031+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224165
2026-08-14T09:16:53.038+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224167
2026-08-14T09:16:53.046+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224169
2026-08-14T09:16:53.053+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224171
2026-08-14T09:16:53.061+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224173
2026-08-14T09:16:53.068+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224175
2026-08-14T09:16:53.076+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224177
2026-08-14T09:16:53.083+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224179
2026-08-14T09:16:53.091+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224181
2026-08-14T09:16:53.098+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224183
2026-08-14T09:16:53.106+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224185
2026-08-14T09:16:53.113+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224187
2026-08-14T09:16:53.121+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224189
2026-08-14T09:16:53.128+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224191
2026-08-14T09:16:53.136+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224193
2026-08-14T09:16:53.143+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224195
2026-08-14T09:16:53.151+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224197
2026-08-14T09:16:53.159+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=224199
