t_ms,true_x,true_y,yaw_deg,map_x,map_y,seg,return_mode,single_axis,route_complete,return_complete,front_cm,left_cm,out_vx,out_vy,map_lim,front_lim,left_lim,clearance
0,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
10,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
20,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
30,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
40,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
50,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
60,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
70,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
80,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
90,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
100,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
110,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
120,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
130,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
140,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
150,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
160,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
170,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
180,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
190,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
200,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
210,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
220,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
230,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
240,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
250,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
260,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
270,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
280,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
290,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
300,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
310,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
320,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
330,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
340,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
350,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
360,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
370,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,0,0,20,15,0,0,0,0,0,1000.000
